Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts
2024isde1,qm,2024isde1_qm43,43,B,Blue2C,C,frc1580,False,25,0,0,25,0,2,10,16,0,0,1,0,2,1,2,2,0,0,3,12,0
2024isde1,qm,2024isde1_qm43,43,B,Blue3S,S,frc5990,False,25,0,0,25,0,2,10,16,0,0,1,0,2,1,2,2,0,0,3,12,0
2024isde1,qm,2024isde1_qm44,44,B,Blue1A,A,frc5135,False,29,0,0,5,0,3,15,17,0,0,6,0,12,6,12,12,0,0,9,27,0
2024isde1,qm,2024isde1_qm44,44,B,Blue2C,C,frc8175,False,29,0,0,5,0,3,15,17,0,0,6,0,12,6,12,12,0,0,9,27,0
2024isde1,qm,2024isde1_qm44,44,B,Blue3S,S,frc5951,False,29,0,0,5,0,3,15,17,0,0,6,0,12,6,12,12,0,0,9,27,0
2024isde1,qm,2024isde1_qm45,45,B,Blue1A,A,frc7177,True,42,0,1,0,0,1,5,7,5,0,4,0,8,4,8,13,5,1,10,18,8
2024isde1,qm,2024isde1_qm45,45,B,Blue2C,C,frc7067,True,42,0,1,0,0,1,5,7,5,0,4,0,8,4,8,13,5,1,10,18,8
2024isde1,qm,2024isde1_qm45,45,B,Blue3S,S,frc5654,True,42,0,1,0,0,1,5,7,5,0,4,0,8,4,8,13,5,1,10,18,8
2024isde1,qm,2024isde1_qm46,46,B,Blue1A,A,frc1690,False,31,0,0,20,0,2,10,12,0,0,8,0,16,8,16,16,0,0,10,26,3
2024isde1,qm,2024isde1_qm46,46,B,Blue2C,C,frc4338,False,31,0,0,20,0,2,10,12,0,0,8,0,16,8,16,16,0,0,10,26,3
2024isde1,qm,2024isde1_qm46,46,B,Blue3S,S,frc2679,False,31,0,0,20,0,2,10,12,0,0,8,0,16,8,16,16,0,0,10,26,3
